번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,소재지전화,도로명전체주소,도로명우편번호,사업장명,데이터갱신구분,좌표정보x(epsg5174),좌표정보y(epsg5174),업무구분명
25,동물병원,02_03_01_P,5410000,5.41E+17,1994-09-30,,1,영업/정상,0,055-532-0636,경상남도 창녕군 창녕읍 창녕대로 153-1,50333,광진동물병원,I,336046.1812,226930.0403,동물병원
26,동물병원,02_03_01_P,5410000,5.41E+17,2002-01-04,,1,영업/정상,0,055-521-0438,경상남도 창녕군 영산면 영산장마로 745,50342,김수의과병원&lt;산업동물출장진료전문병원&gt;,I,338401.2031,218611.0116,동물병원
27,동물병원,02_03_01_P,5410000,5.41E+17,1969-04-01,,1,영업/정상,0,055-532-9191,경상남도 창녕군 창녕읍 창녕대로 54,,남창가축병원,U,335335.0987,227610.6349,동물병원
28,동물병원,02_03_01_P,5420000,5.42E+17,2012-06-29,,1,영업/정상,0,055-6737194,경상남도 고성군 고성읍 송학고분로 317,52931,미소종합동물병원,U,320884.0733,165545.9614,동물병원
29,동물병원,02_03_01_P,5420000,5.42E+17,2014-10-29,,1,영업/정상,0,055-673-8875,경상남도 고성군 고성읍 남포로 75-3,52935,서울동물병원,U,320498.7587,164233.9778,동물병원
30,동물병원,02_03_01_P,5460000,5.46E+17,2015-07-27,,1,영업/정상,0,055-963-4569,경상남도 함양군 함양읍 함양로 1182-1,50033,현대동물병원(출장진료전문병원),I,266044.6187,225182.7285,동물병원
31,동물병원,02_03_01_P,5460000,5.46E+17,2003-03-15,,1,영업/정상,0,,경상남도 함양군 안의면 종로길 11-6,50011,이수의과동물병원(출장진료전문),U,273607.52,236772.1626,동물병원
32,동물병원,02_03_01_P,5460000,5.46E+17,2003-03-15,,1,영업/정상,0,,"경상남도 함양군 함양읍 용평5길 37, 진동물병원",50046,진동물병원(출장전문),U,266101.2203,224380.9957,동물병원
33,동물병원,02_03_01_P,5460000,5.46E+17,2003-03-15,,1,영업/정상,0,055-964-0095,경상남도 함양군 함양읍 중앙시장길 17 (신성가축병원),50046,신성가축병원,U,266159.2732,224480.7461,동물병원
34,동물병원,02_03_01_P,5460000,5.46E+17,2003-03-15,,1,영업/정상,0,,경상남도 함양군 함양읍 돌북1길 27,50044,형제동물병원(출장진료전문),U,265394.1243,224340.5635,동물병원
35,동물병원,02_03_01_P,5460000,5.46E+17,2017-04-06,,1,영업/정상,0,559638875,"경상남도 함양군 함양읍 용평중앙길 43, 1층 105호",50039,함양동물병원,I,266266.294,224642.317,동물병원
36,동물병원,02_03_01_P,4610000,4.61E+17,1977-05-10,,1,영업/정상,0,,충청남도 예산군 예산읍 예산로 31,32431,새마을동물병원,U,184736.6595,353839.4855,동물병원
37,동물병원,02_03_01_P,4610000,4.61E+17,1986-05-26,,1,영업/정상,0,,충청남도 예산군 덕산면 예덕로 8,32406,김태오 동물병원,I,170392.0497,355985.5084,동물병원
38,동물병원,02_03_01_P,4610000,4.61E+17,2003-05-13,,1,영업/정상,0,,충청남도 예산군 예산읍 아리랑로 236,32434,흙 동물병원,U,186713.063,353319.4763,동물병원
39,동물병원,02_03_01_P,4610000,4.61E+17,1996-03-15,,1,영업/정상,0,,충청남도 예산군 고덕면 고덕중앙로 86,32403,중앙 동물병원,I,173351.3811,360641.3745,동물병원
40,동물병원,02_03_01_P,4610000,4.61E+17,1998-01-22,,1,영업/정상,0,,충청남도 예산군 예산읍 역전로 51,32431,예산 동물병원,I,184653.0123,353622.0069,동물병원
41,동물병원,02_03_01_P,4610000,4.61E+17,2006-07-27,,1,영업/정상,0,,충청남도 예산군 삽교읍 충의로 170,340-901,한솔가축병원,U,171951.1551,354892.3642,동물병원
42,동물병원,02_03_01_P,4610000,4.61E+17,2009-04-30,,1,영업/정상,0,,충청남도 예산군 예산읍 사직로 24,32435,협동동물병원,I,186386.2272,353383.2155,동물병원
43,동물병원,02_03_01_P,4610000,4.61E+17,2010-09-03,,1,영업/정상,0,,충청남도 예산군 광시면 예당로 190 (104호),,강이동물병원,U,179870.3116,338956.6944,동물병원
44,동물병원,02_03_01_P,4490000,4.49E+17,1996-06-29,,1,영업/정상,0,520-6370,충청남도 천안시 동남구 청수11로 12 (청당동),31198,천안축산업협동조합 부설동물병원,U,213642.1509,364583.4964,동물병원
45,동물병원,02_03_01_P,4490000,4.49E+17,1998-08-18,,1,영업/정상,0,571-9318,충청남도 천안시 서북구 쌍용대로 51 (쌍용동),31155,우리동물병원,I,211655.1828,366747.8646,동물병원
46,동물병원,02_03_01_P,4490000,4.49E+17,1998-11-28,,1,영업/정상,0,567-4723,충청남도 천안시 동남구 충무로 475 (원성동),31186,장원동물병원(출장진료전문 동물병원),U,214028.6888,366400.0683,동물병원
47,동물병원,02_03_01_P,4490000,4.49E+17,2000-07-26,,1,영업/정상,0,582-9600,충청남도 천안시 서북구 성환읍 매주4길 20,31011,하나동물병원,U,211329.8702,378909.7904,동물병원
48,동물병원,02_03_01_P,4490000,4.49E+17,2002-09-13,,1,영업/정상,0,041-568-7277,충청남도 천안시 동남구 대흥로 320 (성황동),,그림동물병원,I,213381.4239,368329.0298,동물병원
49,동물병원,02_03_01_P,4490000,4.49E+17,2003-02-13,,1,영업/정상,0,523-0275,충청남도 천안시 동남구 터미널2로 8 (신부동),31119,에니펫동물병원,I,214070.5226,368702.7321,동물병원
50,동물병원,02_03_01_P,4490000,4.49E+17,2004-01-19,,1,영업/정상,0,568-7533,"충청남도 천안시 서북구 두정로 203 (두정동,주차빌딩101)",,펫프렌즈동물병원,I,212382.92,370290.6283,동물병원
51,동물병원,02_03_01_P,4490000,4.49E+17,2004-05-08,,1,영업/정상,0,572-8275,"충청남도 천안시 서북구 월봉로 85, 쌍용메디칼 (쌍용동)",31171,김수영 동물병원,U,210450.43,366337.75,동물병원
52,동물병원,02_03_01_P,4610000,4.61E+17,2013-07-29,,1,영업/정상,0,041-334-1666,충청남도 예산군 예산읍 대학로 54 (공주대학교 산업과학대학 내),,충남야생동물구조센터,U,187383.6021,352103.7718,동물병원
53,동물병원,02_03_01_P,4610000,4.61E+17,2016-01-26,,1,영업/정상,0,335-1023,충청남도 예산군 예산읍 벚꽃로 153,32428,KU건국동물병원,U,185301.4694,354781.8455,동물병원
54,동물병원,02_03_01_P,4610000,4.61E+17,2018-04-18,,1,영업/정상,0,,충청남도 예산군 삽교읍 신촌길 11-12,32416,마일스톤피그클리닉(출장진료전문),U,170788.203,352895.4325,동물병원
55,동물병원,02_03_01_P,4490000,5.65E+17,2013-01-24,,1,영업/정상,0,041-557-8575,충청남도 천안시 동남구 중앙로 281-2 (신부동),31117,고려동물병원,I,213530.0613,369125.2048,동물병원
56,동물병원,02_03_01_P,4490000,5.65E+17,2013-07-25,,1,영업/정상,0,,"충청남도 천안시 동남구 청수로 98 (청수동, 청솔LG아파트 상가 지하1층 2호)",31194,서현동물병원,I,213872.4173,365554.803,동물병원
57,동물병원,02_03_01_P,4490000,5.65E+17,2013-08-27,,1,영업/정상,0,544-8834,"충청남도 천안시 동남구 청수로 98 (청수동, 청솔LG아파트 상가 지하1층1호)",31194,다산동물병원,I,214004.6337,365624.3428,동물병원
58,동물병원,02_03_01_P,4490000,5.65E+17,2015-12-07,,1,영업/정상,0,553-5534,"충청남도 천안시 동남구 남부대로 344, 1층 (청당동)",31211,가온동물병원,U,213772.1917,364402.1311,동물병원
59,동물병원,02_03_01_P,4490000,4.49E+17,1979-04-03,,1,영업/정상,0,041-551-5659,충청남도 천안시 동남구 충절로 437 (삼룡동),31070,서일동물병원,U,215243.0551,364669.5698,동물병원
60,동물병원,02_03_01_P,4490000,4.49E+17,1986-05-15,,1,영업/정상,0,041-565-5297,충청남도 천안시 동남구 풍세로 614 (신방동),,유일동물병원(산업동물에 대한 출장진료를 전문으로 함.),U,211746.4372,362966.6207,동물병원
61,동물병원,02_03_01_P,4490000,4.49E+17,1991-04-09,,1,영업/정상,0,,충청남도 천안시 서북구 성환읍 성환1로 275,,태성동물병원,U,211285.2078,379760.9246,동물병원
62,동물병원,02_03_01_P,4490000,5.65E+17,2016-06-28,,1,영업/정상,0,578-4575,충청남도 천안시 동남구 통정10로 33-10 (신방동),31208,나음동물병원,I,211727.7192,363608.4394,동물병원
63,동물병원,02_03_01_P,4490000,5.65E+17,2016-12-22,,1,영업/정상,0,579-8252,"충청남도 천안시 동남구 수곡2길 8-3, 이화빌딩 (신방동)",31176,다솜동물병원,U,211392.4156,365298.7908,동물병원
64,동물병원,02_03_01_P,4490000,5.65E+17,2017-03-27,,1,영업/정상,0,041-900-7582,"충청남도 천안시 동남구 봉정로 6, 2층 (봉명동)",31153,치유동물병원,U,212375.3666,366828.811,동물병원
65,동물병원,02_03_01_P,4490000,5.65E+17,2017-10-12,,1,영업/정상,0,,"충청남도 천안시 동남구 병천면 아우내장터2길 2, 102호",31254,다나동물병원(산업동물에 대한 출장진료를 전문으로 함.),U,226243.9621,362176.2631,동물병원
66,동물병원,02_03_01_P,4490000,5.65E+17,2018-03-25,,1,영업/정상,0,041-557-8275,충청남도 천안시 동남구 충절로 35 (신부동),31125,서울88동물의료원,U,214080.0302,368281.3597,동물병원
67,동물병원,02_03_01_P,4490000,4.49E+17,1991-02-01,,1,영업/정상,0,041-579-7582,충청남도 천안시 서북구 쌍용대로 317 (성정동),,늘푸른동물병원두정의료센터,U,212153.4223,369320.5177,동물병원
68,동물병원,02_03_01_P,4490000,4.49E+17,1992-04-17,,1,영업/정상,0,041-555-7575,충청남도 천안시 동남구 원거리7길 2 (원성동),,중앙동물병원,I,213653.0927,366407.4517,동물병원
69,동물병원,02_03_01_P,4490000,4.49E+17,1994-07-16,,1,영업/정상,0,041-551-5989,충청남도 천안시 동남구 대흥로 94-1 (영성동),31131,녹십자,U,213488.8726,366449.864,동물병원
70,동물병원,02_03_01_P,4490000,4.49E+17,1994-03-28,,1,영업/정상,0,581-7547,충청남도 천안시 서북구 성환읍 성환1로 116,31019,천안공주낙농축산업협동조합부설동물병원,U,211460.3702,378146.8609,동물병원
71,동물병원,02_03_01_P,4490000,4.49E+17,1995-11-23,,1,영업/정상,0,570-1378,충청남도 천안시 동남구 차돌로 50 (다가동),,대전충남 양돈축산업협동조합 부설동물병원,U,212078.5592,366602.9495,동물병원
72,동물병원,02_03_01_P,4490000,5.66E+17,2012-08-30,,1,영업/정상,0,,"충청남도 천안시 서북구 불당7길 25, 1층 (불당동)",31164,동물병원닥터스,U,209927.0468,366866.6218,동물병원
73,동물병원,02_03_01_P,4400000,4.4E+17,2007-01-16,,1,영업/정상,0,043-643-3037,충청북도 제천시 의병대로 55-3 (명동),27169,한일동물병원,I,307181.4996,404632.4359,동물병원
74,동물병원,02_03_01_P,4400000,4.4E+17,2016-06-24,,1,영업/정상,0,645-8272,충청북도 제천시 원뜰로 34 (하소동),27187,명진동물병원,I,306117.8587,404161.0378,동물병원
75,동물병원,02_03_01_P,4400000,4.4E+17,2017-11-13,,1,영업/정상,0,043-652-7582,"충청북도 제천시 죽하로 5, 1층 (장락동)",27148,제천 그레이스 동물병원,U,308529.8452,406307.409,동물병원
76,동물병원,02_03_01_P,4470000,4.47E+17,1984-03-13,,1,영업/정상,0,,충청북도 음성군 삼성면 대성로 613,27652,삼성가축병원,U,244274.7666,390864.4085,동물병원
77,동물병원,02_03_01_P,4470000,4.47E+17,1987-02-03,,1,영업/정상,0,043-872-2262,충청북도 음성군 음성읍 중앙로 142,27695,음성동물병원,U,261397.6603,381890.9689,동물병원
78,동물병원,02_03_01_P,4470000,4.47E+17,1990-07-10,,1,영업/정상,0,,충청북도 음성군 금왕읍 대금로 1498,,금왕동물병원,U,253207.8474,387675.4135,동물병원
79,동물병원,02_03_01_P,4470000,4.47E+17,1999-11-04,,1,영업/정상,0,872-7747,충청북도 음성군 음성읍 중앙로40번길 24,27706,남영가축병원 (출장진료전문병원),I,261590.5758,380889.085,동물병원
80,동물병원,02_03_01_P,4470000,4.47E+17,2002-11-05,,1,영업/정상,0,,,,현대동물병원,U,252457.8076,387478.1782,동물병원
81,동물병원,02_03_01_P,4470000,4.47E+17,2007-07-23,,1,영업/정상,0,043-535-6426,충청북도 음성군 대소면 대금로54번길 8,27671,반석가금진료연구소,U,240160.0964,387198.3034,동물병원
82,동물병원,02_03_01_P,4470000,4.47E+17,2016-04-07,,1,영업/정상,0,,"충청북도 음성군 대소면 대금로 822, A단지 나동 104호 (대왕하이텍공구타운A단지)",27663,전동물병원 (출장진료전문병원),I,246798.5507,386315.267,동물병원
83,동물병원,02_03_01_P,4470000,4.47E+17,2016-05-12,,1,영업/정상,0,438837511,충청북도 음성군 대소면 대금로 502,27666,대소동물병원,I,243886.2011,385135.8415,동물병원
84,동물병원,02_03_01_P,4470000,4.47E+17,2018-06-15,,1,영업/정상,0,043-882-7975,"충청북도 음성군 맹동면 대하1길 4, 위너스타워 2층 205, 206호",27738,그린벨동물의료센터,U,248149.3503,378611.4112,동물병원
85,동물병원,02_03_01_P,4470000,4.47E+17,2011-04-29,,1,영업/정상,0,873-9303,충청북도 음성군 음성읍 시장로 99,,음성축산업협동조합 동물병원,U,261585.1626,381860.5808,동물병원
86,동물병원,02_03_01_P,4400000,4.4E+17,1990-01-10,,1,영업/정상,0,043-647-6100,충청북도 제천시 의림대로15길 24 (중앙로2가),27169,진주동물병원(출장진료전문병원),U,307432.5986,404885.9124,동물병원
87,동물병원,02_03_01_P,3010000,3.01E+17,1992-02-12,,1,영업/정상,0,2237-3366,"서울특별시 중구 다산로 175, 명덕빌딩 (신당동)",4608,바우미우동물병원,U,201064.9637,450779.721,동물병원
88,동물병원,02_03_01_P,3010000,3.01E+17,1995-05-12,,1,영업/정상,0,2278-0075,서울특별시 중구 퇴계로 254-1 (묵정동),4619,황동물병원,U,199930.8583,451121.3448,동물병원
89,동물병원,02_03_01_P,3070000,3.07E+17,2000-08-01,,1,영업/정상,0,928-5599,서울특별시 성북구 보문로 137 (보문동2가),2871,서울종합동물병원,U,201537.5976,453866.557,동물병원
90,동물병원,02_03_01_P,3070000,3.07E+17,2001-05-07,,1,영업/정상,0,918-3344,"서울특별시 성북구 화랑로 299, 2층 210호 (장위동, 석계역 한일노벨리아시티)",2779,대학동물병원,U,205326.1448,456806.4324,동물병원
91,동물병원,02_03_01_P,3070000,3.07E+17,2001-04-12,,1,영업/정상,0,924-4555,서울특별시 성북구 종암로 65 (종암동),2810,강북동물병원,I,203035.964,454877.3496,동물병원
92,동물병원,02_03_01_P,3110000,3.11E+17,2014-05-21,,1,영업/정상,0,02-969-7582,서울특별시 은평구 백련산로 145 (응암동),3463,스머프동물병원,U,193315.1172,455100.9551,동물병원
93,동물병원,02_03_01_P,3110000,3.11E+17,2014-09-01,,1,영업/정상,0,02-356-8353,"서울특별시 은평구 불광로 60, 1층 (불광동)",3365,다루동물병원,U,193936.1257,456673.8056,동물병원
94,동물병원,02_03_01_P,3110000,3.11E+17,2000-03-28,,1,영업/정상,0,386-6092,서울특별시 은평구 서오릉로 192 (갈현동),3335,미래동물병원,U,192190.2663,456830.5284,동물병원
95,동물병원,02_03_01_P,3110000,3.11E+17,2001-07-02,,1,영업/정상,0,382-3243,서울특별시 은평구 서오릉로 140 (대조동),3394,더독동물병원,I,192656.3021,456562.1634,동물병원
96,동물병원,02_03_01_P,3030000,3.03E+17,2003-01-24,,1,영업/정상,0,02-2297-7582,서울특별시 성동구 행당로8길 41-2 (행당동),,오렌지동물병원,U,202931.7899,450419.387,동물병원
97,동물병원,02_03_01_P,3210000,3.21E+17,1997-01-17,,1,영업/정상,0,02-582-2186,서울특별시 서초구 방배로34길 12 (방배동),6585,남서울동물병원,U,199192.1512,443359.706,동물병원
98,동물병원,02_03_01_P,3210000,3.21E+17,1998-01-12,,1,영업/정상,0,582-2357,서울특별시 서초구 효령로57길 4 (서초동),6643,서초동물병원,U,201437.4779,442585.4812,동물병원
99,동물병원,02_03_01_P,3210000,3.21E+17,2013-08-20,,1,영업/정상,0,522-0222,"서울특별시 서초구 반포대로 45, 1층 (서초동, 명성빌딩)",6671,아델 동물병원,U,200886.0325,442481.6826,동물병원
100,동물병원,02_03_01_P,3210000,3.21E+17,2013-09-09,,1,영업/정상,0,581-5500,"서울특별시 서초구 서초대로 124, 101호 (방배동, 선빌딩)",6661,동물제중원금손이 동물병원,U,199582.595,442879.1893,동물병원
101,동물병원,02_03_01_P,3210000,3.21E+17,2005-12-30,,1,영업/정상,0,02-585-0087,"서울특별시 서초구 효령로 214, 삼양빌딩 2층 (서초동)",6709,다니엘동물병원,U,200612.4018,442325.9223,동물병원
102,동물병원,02_03_01_P,3140000,3.14E+17,1990-01-30,,1,영업/정상,0,2693-8883,서울특별시 양천구 중앙로 295 (신월동),8028,우신동물병원,U,186794.8421,446714.2758,동물병원
103,동물병원,02_03_01_P,3140000,3.14E+17,1990-02-23,,1,영업/정상,0,2642-9159,서울특별시 양천구 등촌로 160 (목동),7951,강현림 종합동물병원,U,187774.0762,449099.4068,동물병원
104,동물병원,02_03_01_P,3140000,3.14E+17,1994-03-18,,1,영업/정상,0,02-2651-9953,서울특별시 양천구 은행정로 10 (신정동),8087,해성동물병원,U,187566.1085,446497.5845,동물병원
105,동물병원,02_03_01_P,3210000,3.21E+17,2009-10-23,,1,영업/정상,0,02-3476-7522,"서울특별시 서초구 반포대로 287, 래미안퍼스티지 중심상가 1층 147,148호 (반포동)",6547,두리종합동물병원,U,200005.6264,444680.5217,동물병원
106,동물병원,02_03_01_P,3210000,3.21E+17,2010-04-02,,1,영업/정상,0,25219010,"서울특별시 서초구 방배로 119, 1층 (방배동)",6682,디아나동물병원,U,199509.9016,442495.9495,동물병원
107,동물병원,02_03_01_P,3210000,3.21E+17,2004-04-14,,1,영업/정상,0,02-533-5505,"서울특별시 서초구 나루터로 37, 신사쇼핑센터 1층 102-2호 (잠원동)",6515,이상록동물병원,U,201230.6934,445992.4593,동물병원
108,동물병원,02_03_01_P,3140000,3.14E+17,2008-07-23,,1,영업/정상,0,2690-5673,서울특별시 양천구 월정로 46 (신월동),7936,햇살동물병원,U,185992.295,446855.11,동물병원
109,동물병원,02_03_01_P,3030000,3.03E+17,2016-03-24,,1,영업/정상,0,02-468-7582,서울특별시 성동구 뚝섬로 395 (성수동2가),4781,제인동물병원,U,204763.8077,448534.1138,동물병원
110,동물병원,02_03_01_P,3110000,3.11E+17,2012-02-13,,1,영업/정상,0,02-359-2020,"서울특별시 은평구 통일로 767, 401동 1층 108호 (대조동, 베르디움STAY1)",3391,Dr.윤 동물의료센터,U,,,동물병원
111,동물병원,02_03_01_P,3030000,3.03E+17,2004-08-19,,1,영업/정상,0,02-2233-1848,서울특별시 성동구 금호산길 58(금호동2가),4726,한빛동물병원,U,201657.9263,450119.5081,동물병원
112,동물병원,02_03_01_P,3030000,3.03E+17,2006-10-23,,1,영업/정상,0,02-6085-7750,"서울특별시 성동구 독서당로 289 (금호동4가,지상1층)",,아지동물병원,U,201790.1175,449530.7077,동물병원
113,동물병원,02_03_01_P,3030000,3.03E+17,2007-07-25,,1,영업/정상,0,02-3395-7975,서울특별시 성동구 고산자로 207 (행당동),4714,24시센트럴동물메디컬센터,U,202907.2189,450712.0867,동물병원
114,동물병원,02_03_01_P,3140000,3.14E+17,2007-03-27,,1,영업/정상,0,02-2652-5475,"서울특별시 양천구 신목로 80, 신정동빌딩 (신정동)",8009,리더스 동물병원,U,188828.5448,446633.6155,동물병원
115,동물병원,02_03_01_P,3030000,3.03E+17,2016-02-25,,1,영업/정상,0,02-6402-0301,"서울특별시 성동구 매봉길 13, 1층 420호 (옥수동, 래미안옥수리버젠상가)",4733,오석헌동물병원,I,201153.9816,449188.9705,동물병원
116,동물병원,02_03_01_P,3110000,3.11E+17,2012-06-21,,1,영업/정상,0,385-8275,"서울특별시 은평구 진관3로 70 (진관동, 상림마을 821동 101호)",3302,뉴타운동물병원,U,193103.4271,459986.856,동물병원
117,동물병원,02_03_01_P,3110000,3.11E+17,2013-02-25,,1,영업/정상,0,02-387-7582,서울특별시 은평구 은평로 93 (응암동),3461,24시스마트동물메디컬센터,U,192700.3776,455276.7291,동물병원
118,동물병원,02_03_01_P,3210000,3.21E+17,1995-07-01,,1,영업/정상,0,593-1045,"서울특별시 서초구 강남대로 631, 1층 (잠원동, 크레신타워)",6524,유림동물안과병원,U,201565.9572,446206.3549,동물병원
119,동물병원,02_03_01_P,3060000,3.06E+17,2003-05-28,,1,영업/정상,0,2094-8344,서울특별시 중랑구 중랑천로 71 (상봉동),,서울우유협동조합유우진료소,U,206321.9193,454381.7629,동물병원
120,동물병원,02_03_01_P,3140000,3.14E+17,1999-06-25,,1,영업/정상,0,2695-1231,서울특별시 양천구 남부순환로 347 (신월동),7905,민병철동물병원,I,184767.7296,448229.827,동물병원
121,동물병원,02_03_01_P,3030000,3.03E+17,2012-10-31,,1,영업/정상,0,02-2291-7582,"서울특별시 성동구 독서당로40길 39, 어울림상가 301~304호 (옥수동)",4739,옥수수 동물병원,U,201538.0561,448894.7552,동물병원
122,동물병원,02_03_01_P,3140000,3.14E+17,2009-07-03,,1,영업/정상,0,2645-2727,"서울특별시 양천구 오목로 299, 목동트라팰리스 (목동)",8001,쿨펫이마트 목동점 동물병원,U,188472.7592,447091.856,동물병원
123,동물병원,02_03_01_P,3110000,3.11E+17,2016-03-18,,1,영업/정상,0,02-354-7544,"서울특별시 은평구 연서로 317 (불광동, 동윤빌딩)",3343,둘레길동물병원,U,193547.6806,457936.9948,동물병원
124,동물병원,02_03_01_P,3110000,3.11E+17,2016-10-25,,1,영업/정상,0,02-352-7275,"서울특별시 은평구 통일로 727-5, 2층 (대조동)",3397,개와냥이동물병원,U,193680.5647,456432.9936,동물병원
125,동물병원,02_03_01_P,3110000,3.11E+17,2016-12-27,,1,영업/정상,0,02-3152-0075,서울특별시 은평구 백련산로 29 (응암동),3470,참좋은동물병원,U,193081.8522,453992.5637,동물병원
126,동물병원,02_03_01_P,3110000,3.11E+17,2004-06-08,,1,영업/정상,0,02-384-0075,서울특별시 은평구 통일로 885 (갈현동),3329,메디펫동물병원,U,192825.7957,457740.6732,동물병원
